"System Idle Process","0","Services","0","8 K","Unknown","NT AUTHORITY\SYSTEM","323:08:51","N/A"
"msedge.exe","7180","Console","1","11,264 K","Running","DESKTOP-9639UFB\Admin","0:00:04","OleMainThreadWndName"
"cmd.exe","12540","Console","1","2,532 K","Running","DESKTOP-9639UFB\Admin","0:00:01","Command Prompt - tasklist  /FO CSV /NH /V "
"conhost.exe","2992","Console","1","13,492 K","Running","DESKTOP-9639UFB\Admin","0:00:31","N/A"
"msedge.exe","8684","Console","1","9,296 K","Unknown","DESKTOP-9639UFB\Admin","0:01:09","N/A"
"msedge.exe","6620","Console","1","28,428 K","Unknown","DESKTOP-9639UFB\Admin","0:00:44","N/A"
"msedge.exe","14208","Console","1","41,360 K","Unknown","DESKTOP-9639UFB\Admin","0:01:04","N/A"
"msedge.exe","3684","Console","1","8,472 K","Unknown","DESKTOP-9639UFB\Admin","0:00:32","N/A"
"MoUsoCoreWorker.exe","4232","Services","0","50,864 K","Unknown","N/A","0:01:32","N/A"
"msedge.exe","11784","Console","1","1,30,624 K","Unknown","DESKTOP-9639UFB\Admin","0:06:30","N/A"
"msedge.exe","12628","Console","1","2,49,704 K","Unknown","DESKTOP-9639UFB\Admin","0:20:12","N/A"
"SearchApp.exe","13652","Console","1","3,760 K","Running","DESKTOP-9639UFB\Admin","0:00:09","News and interests"
"svchost.exe","17540","Services","0","3,980 K","Unknown","N/A","0:00:00","N/A"
"OneDrive.exe","12452","Console","1","27,996 K","Running","DESKTOP-9639UFB\Admin","0:00:05","DDE Server Window"
"cmd.exe","22784","Console","1","1,708 K","Running","DESKTOP-9639UFB\Admin","0:00:00","Command Prompt"
"conhost.exe","4400","Console","1","5,852 K","Running","DESKTOP-9639UFB\Admin","0:00:08","N/A"
"explorer.exe","19216","Console","1","29,576 K","Running","DESKTOP-9639UFB\Admin","0:00:08","Programs and Features"
"msedge.exe","12720","Console","1","69,652 K","Unknown","DESKTOP-9639UFB\Admin","0:03:31","N/A"
"msedge.exe","21608","Console","1","1,97,008 K","Unknown","DESKTOP-9639UFB\Admin","0:03:20","N/A"
"svchost.exe","21660","Services","0","8,012 K","Unknown","N/A","0:00:00","N/A"
"Zoom.exe","2996","Console","1","99,624 K","Running","DESKTOP-9639UFB\Admin","0:01:03","Zoom"
"zWebview2Agent.exe","15860","Console","1","31,036 K","Running","DESKTOP-9639UFB\Admin","0:00:05","N/A"
"msedgewebview2.exe","14140","Console","1","1,05,664 K","Running","DESKTOP-9639UFB\Admin","0:00:10","N/A"
"msedgewebview2.exe","1412","Console","1","7,048 K","Running","DESKTOP-9639UFB\Admin","0:00:00","N/A"
"msedgewebview2.exe","17452","Console","1","1,10,168 K","Running","DESKTOP-9639UFB\Admin","0:00:16","N/A"
"msedgewebview2.exe","17912","Console","1","33,852 K","Unknown","DESKTOP-9639UFB\Admin","0:00:02","N/A"
"msedgewebview2.exe","12312","Console","1","17,600 K","Unknown","DESKTOP-9639UFB\Admin","0:00:00","N/A"
"msedgewebview2.exe","15528","Console","1","67,896 K","Unknown","DESKTOP-9639UFB\Admin","0:00:03","N/A"
"msedgewebview2.exe","11704","Console","1","57,780 K","Unknown","DESKTOP-9639UFB\Admin","0:00:02","N/A"
"msedgewebview2.exe","14812","Console","1","82,916 K","Unknown","DESKTOP-9639UFB\Admin","0:00:19","N/A"
"msedgewebview2.exe","22936","Console","1","65,500 K","Unknown","DESKTOP-9639UFB\Admin","0:00:03","N/A"
"msedgewebview2.exe","21032","Console","1","37,844 K","Unknown","DESKTOP-9639UFB\Admin","0:00:00","N/A"
"msedge.exe","23300","Console","1","84,268 K","Unknown","DESKTOP-9639UFB\Admin","0:00:35","N/A"
"Zoom.exe","10052","Console","1","93,080 K","Running","DESKTOP-9639UFB\Admin","0:00:58","N/A"
"msedge.exe","13812","Console","1","57,060 K","Unknown","DESKTOP-9639UFB\Admin","0:00:17","N/A"
"svchost.exe","20852","Services","0","6,136 K","Unknown","N/A","0:00:00","N/A"
"taskhostw.exe","23132","Console","1","9,204 K","Running","DESKTOP-9639UFB\Admin","0:00:00","Task Host Window"
"WmiPrvSE.exe","240","Services","0","9,584 K","Unknown","N/A","0:00:00","N/A"
"msedge.exe","16528","Console","1","1,21,688 K","Unknown","DESKTOP-9639UFB\Admin","0:00:07","N/A"
"msedge.exe","15564","Console","1","89,228 K","Unknown","DESKTOP-9639UFB\Admin","0:00:13","N/A"
"msedge.exe","5052","Console","1","79,516 K","Unknown","DESKTOP-9639UFB\Admin","0:00:04","N/A"
"msedge.exe","9996","Console","1","28,876 K","Unknown","DESKTOP-9639UFB\Admin","0:00:00","N/A"
"WmiPrvSE.exe","10676","Services","0","11,636 K","Unknown","N/A","0:00:03","N/A"
"smartscreen.exe","11268","Console","1","23,432 K","Running","DESKTOP-9639UFB\Admin","0:00:00","OleMainThreadWndName"
"svchost.exe","19708","Services","0","7,860 K","Unknown","N/A","0:00:00","N/A"
"RuntimeBroker.exe","22776","Console","1","9,340 K","Unknown","DESKTOP-9639UFB\Admin","0:00:00","N/A"
"tasklist.exe","18720","Console","1","10,812 K","Unknown","DESKTOP-9639UFB\Admin","0:00:00","N/A"
